id,localidad,f_retiro,N_semana,mes,anio,afidos
456,Mococha,30/10/2019,44,octubre,2019,0
457,Mococha,31/10/2019,44,octubre,2019,0
458,Mococha,31/10/2019,44,octubre,2019,0
459,Mococha,01/11/2019,44,noviembre,2019,0
460,Mococha,01/11/2019,44,noviembre,2019,1
461,Mococha,02/11/2019,44,noviembre,2019,0
462,Mococha,02/11/2019,44,noviembre,2019,0
463,Mococha,04/11/2019,45,noviembre,2019,1
464,Mococha,05/11/2019,45,noviembre,2019,0
465,Mococha,05/11/2019,45,noviembre,2019,0
466,Mococha,06/11/2019,45,noviembre,2019,0
467,Mococha,06/11/2019,45,noviembre,2019,0
468,Mococha,07/11/2019,45,noviembre,2019,0
469,Mococha,07/11/2019,45,noviembre,2019,0
470,Mococha,08/11/2019,45,noviembre,2019,0
471,Mococha,08/11/2019,45,noviembre,2019,2
472,Mococha,10/11/2019,46,noviembre,2019,0
473,Mococha,11/11/2019,46,noviembre,2019,0
474,Mococha,11/11/2019,46,noviembre,2019,0
475,Mococha,12/11/2019,46,noviembre,2019,0
476,Mococha,12/11/2019,46,noviembre,2019,0
477,Mococha,13/11/2019,46,noviembre,2019,0
478,Mococha,13/11/2019,46,noviembre,2019,0
479,Mococha,14/11/2019,46,noviembre,2019,0
480,Mococha,14/11/2019,46,noviembre,2019,0
481,Mococha,15/11/2019,46,noviembre,2019,0
482,Mococha,15/11/2019,46,noviembre,2019,0
483,Mococha,15/11/2019,46,noviembre,2019,0
484,Mococha,19/11/2019,47,noviembre,2019,0
485,Mococha,20/11/2019,47,noviembre,2019,1
486,Mococha,20/11/2019,47,noviembre,2019,1
487,Mococha,21/11/2019,47,noviembre,2019,0
488,Mococha,21/11/2019,47,noviembre,2019,2
489,Mococha,22/11/2019,47,noviembre,2019,0
490,Mococha,22/11/2019,47,noviembre,2019,1
491,Mococha,25/11/2019,48,noviembre,2019,0
492,Mococha,26/11/2019,48,noviembre,2019,0
493,Mococha,26/11/2019,48,noviembre,2019,0
494,Mococha,27/11/2019,48,noviembre,2019,0
495,Mococha,27/11/2019,48,noviembre,2019,0
496,Mococha,28/11/2019,48,noviembre,2019,0
497,Mococha,28/11/2019,48,noviembre,2019,0
498,Mococha,29/11/2019,48,noviembre,2019,0
499,Mococha,29/11/2019,48,noviembre,2019,0
500,Mococha,02/12/2019,49,diciembre,2019,0
501,Mococha,03/12/2019,49,diciembre,2019,1
502,Mococha,03/12/2019,49,diciembre,2019,0
503,Mococha,04/12/2019,49,diciembre,2019,0
504,Mococha,04/12/2019,49,diciembre,2019,0
505,Mococha,05/12/2019,49,diciembre,2019,0
506,Mococha,05/12/2019,49,diciembre,2019,0
507,Mococha,06/12/2019,49,diciembre,2019,2
508,Mococha,06/12/2019,49,diciembre,2019,0
509,Mococha,09/12/2019,50,diciembre,2019,3
510,Mococha,10/12/2019,50,diciembre,2019,2
511,Mococha,10/12/2019,50,diciembre,2019,1
512,Mococha,11/12/2019,50,diciembre,2019,4
513,Mococha,11/12/2019,50,diciembre,2019,3
514,Mococha,12/12/2019,50,diciembre,2019,1
515,Mococha,12/12/2019,50,diciembre,2019,2
516,Mococha,13/12/2019,50,diciembre,2019,0
517,Mococha,13/12/2019,50,diciembre,2019,7
518,Mococha,16/12/2019,51,diciembre,2019,2
519,Mococha,17/12/2019,51,diciembre,2019,0
520,Mococha,17/12/2019,51,diciembre,2019,14
521,Mococha,18/12/2019,51,diciembre,2019,2
522,Mococha,18/12/2019,51,diciembre,2019,0
523,Mococha,19/12/2019,51,diciembre,2019,0
524,Mococha,19/12/2019,51,diciembre,2019,0
525,Mococha,20/12/2019,51,diciembre,2019,0
526,Mococha,20/12/2019,51,diciembre,2019,1
527,Mococha,23/12/2019,52,diciembre,2019,7
528,Mococha,24/12/2019,52,diciembre,2019,12
529,Mococha,24/12/2019,52,diciembre,2019,2
530,Mococha,26/12/2019,52,diciembre,2019,5
531,Mococha,27/12/2019,52,diciembre,2019,9
532,Mococha,27/12/2019,52,diciembre,2019,6
533,Mococha,30/12/2019,53,diciembre,2019,29
534,Mococha,31/12/2019,53,diciembre,2019,16
535,Mococha,31/12/2019,53,diciembre,2019,13
536,Mococha,02/01/2020,1,enero,2020,17
537,Mococha,03/01/2020,1,enero,2020,12
538,Mococha,03/01/2020,1,enero,2020,3
539,Mococha,06/01/2020,2,enero,2020,18
540,Mococha,07/01/2020,2,enero,2020,7
541,Mococha,07/01/2020,2,enero,2020,5
542,Mococha,08/01/2020,2,enero,2020,7
543,Mococha,08/01/2020,2,enero,2020,8
544,Mococha,09/01/2020,2,enero,2020,7
545,Mococha,09/01/2020,2,enero,2020,12
546,Mococha,10/01/2020,2,enero,2020,17
547,Mococha,10/01/2020,2,enero,2020,12
548,Mococha,13/01/2020,3,enero,2020,5
549,Mococha,14/01/2020,3,enero,2020,5
550,Mococha,14/01/2020,3,enero,2020,3
551,Mococha,15/01/2020,3,enero,2020,3
552,Mococha,15/01/2020,3,enero,2020,5
553,Mococha,16/01/2020,3,enero,2020,7
554,Mococha,16/01/2020,3,enero,2020,2
555,Mococha,20/01/2020,4,enero,2020,2
