"","fecha","tipo","total","Fecha"
"01-20176","01-2017","Fraude bancario",133275,ene. 2017
"02-20176","02-2017","Fraude bancario",159609,feb. 2017
"03-20176","03-2017","Fraude bancario",201991,mar. 2017
"04-20176","04-2017","Fraude bancario",121946,abr. 2017
"05-20176","05-2017","Fraude bancario",190400,may. 2017
"06-20176","06-2017","Fraude bancario",237169,jun. 2017
"07-20176","07-2017","Fraude bancario",133503,jul. 2017
"08-20176","08-2017","Fraude bancario",213798,ago. 2017
"09-20176","09-2017","Fraude bancario",167388,sep. 2017
"10-20176","10-2017","Fraude bancario",166635,oct. 2017
"11-20176","11-2017","Fraude bancario",221223,nov. 2017
"12-20176","12-2017","Fraude bancario",294895,dic. 2017
"01-20177","01-2017","Fraude al consumidor",106478,ene. 2017
"02-20177","02-2017","Fraude al consumidor",140212,feb. 2017
"03-20177","03-2017","Fraude al consumidor",122197,mar. 2017
"04-20177","04-2017","Fraude al consumidor",112488,abr. 2017
"05-20177","05-2017","Fraude al consumidor",128662,may. 2017
"06-20177","06-2017","Fraude al consumidor",133773,jun. 2017
"07-20177","07-2017","Fraude al consumidor",119153,jul. 2017
"08-20177","08-2017","Fraude al consumidor",137455,ago. 2017
"09-20177","09-2017","Fraude al consumidor",106684,sep. 2017
"10-20177","10-2017","Fraude al consumidor",117723,oct. 2017
"11-20177","11-2017","Fraude al consumidor",178028,nov. 2017
"12-20177","12-2017","Fraude al consumidor",174340,dic. 2017
"01-20178","01-2017","Extorsión",398771,ene. 2017
"02-20178","02-2017","Extorsión",498818,feb. 2017
"03-20178","03-2017","Extorsión",544362,mar. 2017
"04-20178","04-2017","Extorsión",410806,abr. 2017
"05-20178","05-2017","Extorsión",616443,may. 2017
"06-20178","06-2017","Extorsión",794983,jun. 2017
"07-20178","07-2017","Extorsión",559790,jul. 2017
"08-20178","08-2017","Extorsión",515994,ago. 2017
"09-20178","09-2017","Extorsión",600613,sep. 2017
"10-20178","10-2017","Extorsión",603037,oct. 2017
"11-20178","11-2017","Extorsión",751800,nov. 2017
"12-20178","12-2017","Extorsión",828551,dic. 2017
"01-20179","01-2017","Amenazas verbales",159321,ene. 2017
"02-20179","02-2017","Amenazas verbales",145531,feb. 2017
"03-20179","03-2017","Amenazas verbales",169888,mar. 2017
"04-20179","04-2017","Amenazas verbales",130414,abr. 2017
"05-20179","05-2017","Amenazas verbales",145113,may. 2017
"06-20179","06-2017","Amenazas verbales",197482,jun. 2017
"07-20179","07-2017","Amenazas verbales",177915,jul. 2017
"08-20179","08-2017","Amenazas verbales",174033,ago. 2017
"09-20179","09-2017","Amenazas verbales",161999,sep. 2017
"10-20179","10-2017","Amenazas verbales",180106,oct. 2017
"11-20179","11-2017","Amenazas verbales",314760,nov. 2017
"12-20179","12-2017","Amenazas verbales",388255,dic. 2017
"01-201710","01-2017","Lesiones físicas",60732,ene. 2017
"02-201710","02-2017","Lesiones físicas",50647,feb. 2017
"03-201710","03-2017","Lesiones físicas",55156,mar. 2017
"04-201710","04-2017","Lesiones físicas",63849,abr. 2017
"05-201710","05-2017","Lesiones físicas",59044,may. 2017
"06-201710","06-2017","Lesiones físicas",86561,jun. 2017
"07-201710","07-2017","Lesiones físicas",66917,jul. 2017
"08-201710","08-2017","Lesiones físicas",61676,ago. 2017
"09-201710","09-2017","Lesiones físicas",79098,sep. 2017
"10-201710","10-2017","Lesiones físicas",104009,oct. 2017
"11-201710","11-2017","Lesiones físicas",90140,nov. 2017
"12-201710","12-2017","Lesiones físicas",171950,dic. 2017
"01-201711","01-2017","Secuestro",10405,ene. 2017
"02-201711","02-2017","Secuestro",2774,feb. 2017
"03-201711","03-2017","Secuestro",10733,mar. 2017
"04-201711","04-2017","Secuestro",4917,abr. 2017
"05-201711","05-2017","Secuestro",940,may. 2017
"06-201711","06-2017","Secuestro",13032,jun. 2017
"07-201711","07-2017","Secuestro",3884,jul. 2017
"08-201711","08-2017","Secuestro",4549,ago. 2017
"09-201711","09-2017","Secuestro",7078,sep. 2017
"10-201711","10-2017","Secuestro",5920,oct. 2017
"11-201711","11-2017","Secuestro",3028,nov. 2017
"12-201711","12-2017","Secuestro",11100,dic. 2017
"01-201712","01-2017","Hostigamiento",34092,ene. 2017
"02-201712","02-2017","Hostigamiento",80846,feb. 2017
"03-201712","03-2017","Hostigamiento",63691,mar. 2017
"04-201712","04-2017","Hostigamiento",26206,abr. 2017
"05-201712","05-2017","Hostigamiento",49632,may. 2017
"06-201712","06-2017","Hostigamiento",45441,jun. 2017
"07-201712","07-2017","Hostigamiento",59724,jul. 2017
"08-201712","08-2017","Hostigamiento",63457,ago. 2017
"09-201712","09-2017","Hostigamiento",58422,sep. 2017
"10-201712","10-2017","Hostigamiento",62416,oct. 2017
"11-201712","11-2017","Hostigamiento",115807,nov. 2017
"12-201712","12-2017","Hostigamiento",140366,dic. 2017
"01-201713","01-2017","Violación",4299,ene. 2017
"02-201713","02-2017","Violación",2969,feb. 2017
"03-201713","03-2017","Violación",4157,mar. 2017
"04-201713","04-2017","Violación",3103,abr. 2017
"05-201713","05-2017","Violación",6960,may. 2017
"06-201713","06-2017","Violación",3036,jun. 2017
"07-201713","07-2017","Violación",2440,jul. 2017
"08-201713","08-2017","Violación",7656,ago. 2017
"09-201713","09-2017","Violación",5146,sep. 2017
"10-201713","10-2017","Violación",5650,oct. 2017
"11-201713","11-2017","Violación",6809,nov. 2017
"12-201713","12-2017","Violación",7954,dic. 2017
"01-201714","01-2017","Otros",10791,ene. 2017
"02-201714","02-2017","Otros",9890,feb. 2017
"03-201714","03-2017","Otros",6556,mar. 2017
"04-201714","04-2017","Otros",7501,abr. 2017
"05-201714","05-2017","Otros",9085,may. 2017
"06-201714","06-2017","Otros",4250,jun. 2017
"07-201714","07-2017","Otros",6912,jul. 2017
"08-201714","08-2017","Otros",2913,ago. 2017
"09-201714","09-2017","Otros",12133,sep. 2017
"10-201714","10-2017","Otros",9564,oct. 2017
"11-201714","11-2017","Otros",9938,nov. 2017
"12-201714","12-2017","Otros",14934,dic. 2017
"01-2018","01-2018","Robo total de vehículo",44358,ene. 2018
"02-2018","02-2018","Robo total de vehículo",55006,feb. 2018
"03-2018","03-2018","Robo total de vehículo",51480,mar. 2018
"04-2018","04-2018","Robo total de vehículo",35443,abr. 2018
"05-2018","05-2018","Robo total de vehículo",42196,may. 2018
"06-2018","06-2018","Robo total de vehículo",57374,jun. 2018
"07-2018","07-2018","Robo total de vehículo",43241,jul. 2018
"08-2018","08-2018","Robo total de vehículo",40237,ago. 2018
"09-2018","09-2018","Robo total de vehículo",43778,sep. 2018
"10-2018","10-2018","Robo total de vehículo",41055,oct. 2018
